,Speed: 7,Speed: 14,Speed: 21
731,9733.96,1817.29,969.96
732,9738.16,1818.86,970.908
733,9742.35,1820.43,971.856
734,9746.52,1821.99,972.803
735,9750.68,1823.56,973.749
736,9754.82,1825.12,974.694
737,9758.95,1826.68,975.638
738,9763.06,1828.24,976.582
739,9767.16,1829.8,977.524
740,9771.24,1831.36,978.466
741,9775.31,1832.91,979.407
742,9779.37,1834.46,980.346
743,9783.4,1836.01,981.285
744,9787.43,1837.56,982.224
745,9791.44,1839.11,983.161
746,9795.43,1840.65,984.097
747,9799.41,1842.19,985.033
748,9803.38,1843.73,985.967
749,9807.33,1845.27,986.901
750,9811.26,1846.8,987.834
751,9815.18,1848.34,988.766
752,9819.09,1849.87,989.697
753,9822.98,1851.4,990.627
754,9826.86,1852.93,991.556
755,9830.72,1854.46,992.485
756,9834.57,1855.98,993.412
757,9838.41,1857.5,994.339
758,9842.23,1859.02,995.265
759,9846.03,1860.54,996.19
760,9849.82,1862.06,997.114
761,9853.6,1863.57,998.037
762,9857.36,1865.09,998.96
763,9861.11,1866.6,999.881
764,9864.84,1868.11,1000.8
765,9868.56,1869.61,1001.72
766,9872.27,1871.12,1002.64
767,9875.96,1872.62,1003.56
768,9879.64,1874.12,1004.48
769,9883.3,1875.62,1005.39
770,9886.95,1877.12,1006.31
771,9890.58,1878.62,1007.22
772,9894.21,1880.11,1008.14
773,9897.81,1881.6,1009.05
774,9901.41,1883.09,1009.96
775,9904.98,1884.58,1010.87
776,9908.55,1886.07,1011.78
777,9912.1,1887.55,1012.69
778,9915.64,1889.03,1013.6
779,9919.16,1890.51,1014.51
780,9922.67,1891.99,1015.41
781,9926.17,1893.47,1016.32
782,9929.65,1894.94,1017.23
783,9933.12,1896.42,1018.13
784,9936.57,1897.89,1019.03
785,9940.01,1899.36,1019.94
786,9943.44,1900.82,1020.84
787,9946.85,1902.29,1021.74
788,9950.25,1903.75,1022.64
789,9953.64,1905.22,1023.54
790,9957.01,1906.68,1024.44
791,9960.37,1908.13,1025.33
792,9963.72,1909.59,1026.23
793,9967.05,1911.04,1027.12
794,9970.37,1912.5,1028.02
795,9973.67,1913.95,1028.91
796,9976.97,1915.39,1029.81
797,9980.24,1916.84,1030.7
798,9983.51,1918.29,1031.59
799,9986.76,1919.73,1032.48
800,9990,1921.17,1033.37
801,9993.23,1922.61,1034.26
802,9996.44,1924.05,1035.15
803,9999.64,1925.48,1036.03
804,10002.8,1926.92,1036.92
805,10006,1928.35,1037.81
806,10009.2,1929.78,1038.69
807,10012.3,1931.21,1039.57
808,10015.4,1932.63,1040.46
809,10018.6,1934.06,1041.34
810,10021.7,1935.48,1042.22
811,10024.8,1936.9,1043.1
812,10027.8,1938.32,1043.98
813,10030.9,1939.74,1044.86
814,10034,1941.15,1045.74
